	Molecule
573	COC(=O)CNC(=O)c1sc(nc1C)-n1cccc1
574	COC(=O)CC1CCN(CC1)C(=O)[C@H](c1ccccc1)n1cnnn1
575	COc1ccc2c(C)c(CCC(=O)NCCc3nnc4ccccn34)c(=O)oc2c1C
576	COc1ccc(cc1OC)-c1nc(CC(=O)NCc2c(C)nn(C)c2C)cs1
577	O=C(Nc1nc(CCc2c[nH]c3ccccc23)n[nH]1)C1CC1
578	COC(=O)c1[nH]\c(=N\C(=O)c2ccc(cc2)-c2nnn(n2)C(C)C)sc1C
579	CCOC(=O)Cc1csc(NC(=O)c2cc(n[nH]2)-c2c(C)nn(C)c2C)n1
580	COC(=O)CC1CCN(CC1)C(=O)c1nc(Br)sc1C(C)C
581	COc1ccc(cc1Cl)-c1nn2c(nnc2s1)-c1c(Cl)cnn1C
582	C[C@@H](C(=O)Nc1cnn(C)c1)c1ccc(C[C@@H]2CCCC2=O)cc1
583	C[C@H](C(=O)Nc1cnn(C)c1)c1ccc(C[C@H]2CCCC2=O)cc1
584	O=C(COc1coc(C[NH+]2CCN(Cc3ccccc3)CC2)cc1=O)NC1CCCCCC1
585	Cn1c2ccc(cc2n(C)c1=O)-c1c2oc3cc(O)ccc3c2nc2n(nc(O)c12)C1CCCC1
586	COc1ccc(CCc2n[nH]c(NC(=O)Cc3ccc4OCCCOc4c3)n2)cc1
587	CC1(C)OC(=O)C[C@H]1C(=O)NCC1(Cc2nnc3ccccn23)CCCCC1
588	COC(=O)C[C@@H](c1cnn(C)c1)c1oc(CSc2cccc(OC)c2)cc(=O)c1O
589	COCCNC(=O)[C@@H]1CN(C(=O)C1)c1n[nH]c2cccc(F)c12
590	C[C@H](C(=O)Nc1ccn(C)n1)c1ccc(C[C@H]2CCCC2=O)cc1
591	CCc1s\c(=N\C(=O)c2cc3c(OC)ccc(OC)c3n2C)[nH]c1C(=O)OC
592	COCc1n[nH]c(n1)-c1cccc(NC(=O)c2cc([nH]n2)-c2ccco2)c1
593	Cc1nnc2ccc(SCC(=O)Nc3ccc(Br)cc3F)nn12
594	COc1cn(CC(=O)NC2CC[NH+](Cc3ccccc3)CC2)c(CN2CCOCC2)cc1=O
595	Brc1ccc2c(n[nH]c2c1)N1C[C@H](CC1=O)C(=O)Nc1cccnc1
596	Cc1nn(C)c(C)c1-c1nnc2sc(nn12)-c1ccc(Cl)cc1Cl
597	COc1ccc(nn1)N1CCC(CC1)C(=O)Nc1cccc2ccccc12
598	CCOC(=O)c1cs\c(=N/C(=O)c2n[nH]c3CCCc23)[nH]1
599	Cc1ccc2c(cc(=O)oc2c1)-c1cc2c(C[NH+]3CCCC3)cnc(C)c2o1
600	O=C(Nc1ccncc1)[C@@H](c1ccccc1)n1cnnn1
601	Cn1nc(CC(=O)Nc2cccc3n(Cc4cccc(F)c4)ccc23)c2ccccc2c1=O
602	Cn1cnc2cc(NC(=O)[C@@H](c3ccccc3)n3cnnn3)ccc12
603	CC[NH+]1CCC[C@@H]1CNC(=O)Cn1ccc2c(cnc3ccnn23)c1=O
604	CC[NH+]1CCC[C@H]1CNC(=O)Cn1ccc2c(cnc3ccnn23)c1=O
605	Clc1ccc(cc1)[C@H](CC(=O)N1CCN(CCc2ccccn2)CC1)Cn1cccc1
606	COc1cc(cc(OC)c1OC)-n1cc(C(=O)Nc2cnn(C)c2)c2ccccc2c1=O
607	COCCCNC(=O)[C@H]1CN(C(=O)C1)c1n[nH]c2ccccc12
608	COCCCNC(=O)[C@@H]1CN(C(=O)C1)c1n[nH]c2ccccc12
609	CC(C)c1n[nH]c(NC(=O)c2cccc(c2)-n2nc(C)cc2C)n1
610	Cc1cc(=O)c(OCC(=O)N2CCN(CC2)c2[nH+]c3ccccc3n2C)cn1C
611	COCCn1cc(C(=O)Nc2ccc3ncn(C(C)C)c(=O)c3c2)c2ccccc2c1=O
612	CC(C)c1sc(Cl)nc1C(=O)NC1CC[NH+](Cc2ccc(F)cc2)CC1
613	COC(=O)C[C@H](c1cnn(C)c1C)c1c(C)[nH]nc1O
614	CN1c2cccnc2Oc2ccc(NC(=O)CCS(=O)(=O)c3ccccc3)cc2C1=O
615	CC(=O)Nc1cccc(NC(=O)c2nc(C)sc2-c2ccccc2Cl)c1
616	CC(C)n1cc(C(=O)N2CCC(O)(CC2)c2ccc(Cl)cc2)c2ccccc12
617	Cc1nc2ccccc2c(=O)n1CCNC(=O)c1ccc2[nH]ccc2c1
618	[O-]C(=O)C[C@@H](c1ccsc1)n1cnnn1
619	COC(=O)C[C@H](c1ccsc1)c1oc(CSc2ccccc2F)cc(=O)c1O
620	COc1ccc(nn1)N1CCC(CC1)C(=O)Nc1cc(Cl)cc(Cl)c1
621	Cc1nn(C)c(C)c1-c1nnc2sc(nn12)-c1ccc(Br)s1
622	Cn1c(CN2CCOCC2)cc(=O)c(O)c1CN1CCN(Cc2cccc(Cl)c2)CC1
623	COc1cc2nc(C)n(CC(=O)Nc3n[nH]c4cccc(F)c34)c(=O)c2cc1OC
624	CCC[C@]1(CC(=O)N2CC[NH+](C)CC2)CCOC(C)(C)C1
625	COC(=O)c1[nH]\c(=N/C(=O)COc2c[nH]c(C)cc2=O)sc1-c1ccccc1
626	COc1ccc(nn1)N1CCC(CC1)C(=O)Nc1ccccc1
627	COC(=O)c1[nH]\c(=N\C(=O)c2ccc3nc(C)c(C)nc3c2)sc1CC(C)C
628	Cc1cc2OC(=O)C[C@@H](c3cnn4cccnc34)c2c(=O)[nH]1
629	COCc1nc(n[nH]1)-c1cccc(NC(=O)c2cccc3n(C)ccc23)c1
630	COC(=O)c1[nH]\c(=N\C(=O)[C@@H]2CN(C(=O)C2)c2n[nH]c3ccccc23)sc1C(C)C
631	Cn1c(C[NH+]2CCCCC2)cc(=O)c(O)c1CN1CCN(CC1)S(C)(=O)=O
632	COc1cccc2n(CCNC(=O)CCc3nc4ccccc4[nH]c3=O)ccc12
633	COC(=O)CCNC(=O)[C@@H]1[C@H](N(C)C(=O)c2ccccc12)c1ccc(OC)c(OC)c1
634	COC(=O)CCNC(=O)[C@@H]1[C@@H](N(C)C(=O)c2ccccc12)c1ccc(OC)c(OC)c1
635	COc1ccc(CCc2n[nH]c(NC(=O)[C@H]3CN(C(=O)C3)c3ccc(OC)cc3)n2)cc1
636	Cc1cc2OC(=O)C[C@@H](c3ccc(OCCn4cccn4)cc3)c2c(=O)[nH]1
637	Cc1nn(C)c(C)c1-c1cc(n[nH]1)C(=O)Nc1ccc2OCCCOc2c1
638	CCOC(=O)N1CCN(CC1)C(=O)Cn1c(C)nc2ccc(F)cc2c1=O
639	O[C@]12CCCC[C@@H]1CN(CC2)C(=O)Cn1ccc2c(Cl)cccc12
640	O[C@@]12CCCC[C@H]1CN(CC2)C(=O)Cn1ccc2c(Cl)cccc12
641	COc1ccc2cnn(CC(=O)Nc3ccc4ccn(C)c4c3)c(=O)c2c1OC
642	Cc1cs\c(=N\C(=O)COc2c[nH]c(C)cc2=O)[nH]1
643	Cc1nn(c(C)c1N)-c1nnc[n-]1
644	COc1ccccc1Cn1cc(C(=O)Nc2nc[nH]n2)c2ccccc2c1=O
645	Cc1c(nn2c(ccnc12)-c1ccccc1O)-c1ccccc1
646	CCOC(=O)c1[nH]c(C)c(C(=O)NCCc2ccncc2)c1C
647	CC(C)Cn1cnc2ccc(NC(=O)CCN3Cc4ccccc4C3=O)cc2c1=O
648	Cc1cc2OC(=O)C[C@@H](c3ccccc3OCC([O-])=O)c2c(=O)[nH]1
649	Cc1cc2OC(=O)C[C@H](c3ccccc3OCC([O-])=O)c2c(=O)[nH]1
650	Clc1ccc(cc1)[C@H](CC(=O)Nc1nccs1)Cn1cccc1
651	Clc1ccc(cc1)[C@@H](CC(=O)Nc1nccs1)Cn1cccc1
652	CC(C)n1c(CNC(=O)[C@@H](C)n2nnc3ccccc3c2=O)nc2ccccc12
653	COC(=O)CNC(=O)c1nc(C)sc1-c1ccccc1Cl
654	CC(=O)Nc1ccc(NC(=O)C[C@H](Cn2cccc2)c2ccc(Cl)cc2)cc1
655	Fc1cc(cc(F)c1F)-n1cc(C(=O)NCCc2c[nH+]c[nH]2)c2ccccc2c1=O
656	CC(=O)Nc1ccc(cc1)S(=O)(=O)N1CCC(CC1)C(=O)Nc1cccc2n(C)ccc12
657	CC(C)n1nnc(n1)-c1ccc(cc1)C(=O)NCCc1nnc2ccccn12
658	COC(=O)CNC(=O)c1c[nH]c2c(F)cccc2c1=O
659	CC(C)n1ccc2c(cccc12)C(=O)Nc1nc(cs1)-c1ccncc1
660	COCc1nnc(NC(=O)[C@@H]2CC(=O)N(C)[C@@H]2c2ccc3OCOc3c2)s1
661	COCc1nnc(NC(=O)[C@H]2CC(=O)N(C)[C@H]2c2ccc3OCOc3c2)s1
662	CC(C)n1ccc2c(NC(=O)Cc3csc(n3)-n3cccc3)cccc12
663	COc1ccc(CCNC(=O)c2nc(Br)sc2C(C)C)cc1OC
664	CCc1s\c(=N/C(=O)c2n[nH]c3CCCc23)[nH]c1C(=O)OC
665	CCOC(=O)c1[nH]c(C)c(C(=O)Nc2ccc(Cn3cncn3)cc2)c1C
666	COC(=O)c1[nH]\c(=N\C(=O)[C@@H]2CC(=O)OC2(C)C)sc1C
667	COC(=O)c1[nH]\c(=N\C(=O)[C@H]2CC(=O)OC2(C)C)sc1C
668	OC1(CCN(CC1)C(=O)CC1(CCCCC1)n1cccc1)c1ccc(Cl)cc1
669	CC(C)n1nc(C)c([C@H]2CC(=O)Oc3cc(C)[nH]c(=O)c23)c1C
670	OC1=Nc2ccccc2C(=O)N[C@H]1CC(=O)NCCN1CCOCC1
671	COc1ccc(cc1)C(=O)CNC(=O)CCn1ccc2c(OC)cccc12
672	COc1ccccc1-n1c(C)cc(C(=O)NCc2nnc3ccccn23)c1C
673	Cc1cn2c(ncc(C(=O)Nc3nnc(C)s3)c2=O)s1
674	COc1cccc2n(CCC(=O)N[C@@H](C)c3nnc4ccccn34)ccc12
675	COc1ccc(cc1)C(=O)CNC(=O)c1cn(Cc2ccncc2)c(=O)c2ccccc12
676	O=C(Nc1n[nH]c(CCC2CCCC2)n1)c1[nH]nc2CCCc12
677	Fc1ccc2[nH]cc(C(=O)NCc3nnc4ccccn34)c(=O)c2c1
678	O=C(NCCc1c[nH]c[nH+]1)c1cc([nH]n1)-c1ccco1
679	CC(C)n1cc(C(=O)NCCc2nccs2)c2ccccc12
680	CC(C)Cn1nc(CC(=O)NCCc2nnc3ccccn23)c2ccccc2c1=O
681	Cc1ccc2c(cc(=O)oc2c1)-c1cc2c(CN3CCN(CC3)c3ccccc3)cnc(C)c2o1
682	Cn1ccc2c(cccc12)C(=O)N1CCN(CCc2ccncc2)CC1
683	COc1ccc(cc1)-c1[nH]nc(C)c1CC(=O)N1CCc2ccccc2C1
684	COc1ccc(Cc2n[nH]c(NC(=O)c3cc(nc4onc(C)c34)C(C)C)n2)cc1
685	O[C@]12CCCC[C@@H]1CN(CC2)C(=O)CCn1ccc2ccc(Cl)cc12
686	Cc1cc(=O)c(OCC(=O)N2CCN(Cc3ccc4OCOc4c3)CC2)c[nH]1
687	O=C([C@@H](c1ccccc1)n1cnnn1)N1CCN(CCc2ccncc2)CC1
688	Cn1ccnc1C(=O)c1ccc(NC(=O)[C@@H](c2ccccc2)n2cnnn2)cc1
689	Cc1c(nn2c(ccnc12)-c1c([O-])cc(C)oc1=O)-c1ccc(C)cc1
690	COc1ccc(cc1OC)-c1ccnc2nc(CCC3CCCC3)nn12
691	COc1cc(cc(OC)c1OC)-c1c2oc3cc(O)ccc3c2nc2n(nc(O)c12)C1CCCC1
692	O=C(NCCN1CCOCC1)[C@H]1CN(C(=O)C1)c1n[nH]c2ccccc12
693	COc1ccc(Cl)cc1-c1nn2c(nnc2s1)-c1cc(CC(C)C)nn1C
694	COc1cc(OC)c(cc1OC)-c1c2oc3cc(O)ccc3c2nc2n(nc(O)c12)C1CCCC1
695	COc1ccc2nnc(CCCC(=O)N3CCN(CC3)c3cccc(Cl)c3)n2n1
696	OC1=Nc2ccc(NC(=O)c3c(Cl)cccc3Cl)cc2C(=O)N2CCC[C@H]12
697	COc1ccc(NC(=O)[C@H]2CCCN(C2)c2ccc(OC)nn2)cc1
698	Clc1cccc2n(CCNC(=O)Cc3csc(n3)-n3cccc3)ccc12
699	COCCn1cc(CC(=O)NCCc2nccs2)c2ccccc12
700	Fc1ccc2ccn(CCC(=O)NCCc3nnc4ccccn34)c2c1
701	COc1ccc(cc1OC)-c1cc(n[nH]1)C(=O)N1CCN(CCc2ccncc2)CC1
702	COC(=O)C[C@H](c1ccnn1C)c1oc(CSc2ccc(F)cc2F)cc(=O)c1O
703	COc1cc(F)ccc1-c1ccnc2nc(CCC3CCCC3)nn12
704	COC(=O)c1[nH]\c(=N/C(=O)Cn2cc(OC)c(=O)cc2C)sc1C(C)C
705	COc1ccc(CCC(=O)NCCn2c(C)nc3ncccc3c2=O)cc1OC
706	COc1ccc(cc1)C(=O)CNC(=O)c1ccccc1-n1cnnn1
707	Cc1cc(C)nc(NCCC(=O)NCCn2ccc3ccccc23)n1
708	Cc1nc(C)c(s1)-c1nn2c(nnc2s1)-c1ccco1
709	COCCn1cnc2ccc(NC(=O)c3c[nH]c4c(OC)cccc4c3=O)cc2c1=O
710	C[C@H](Sc1ncnc2nc[nH]c12)C(=O)Nc1cccc2[nH]ccc12
711	C[C@@H](Sc1ncnc2nc[nH]c12)C(=O)Nc1cccc2[nH]ccc12
712	CC(C)c1sc(Cl)nc1C(=O)NCCCN1CCOCC1
713	Brc1ccc(s1)-c1cc(n[nH]1)C(=O)NCc1nnc2ccccn12
714	CCCCc1nc(N2CCN(CC2)C(=O)C(C)C)c(C#N)c2CC(C)(C)OCc12
715	CC[NH+]1CCC[C@@H]1CNC(=O)c1cn(C)c(=O)c2ccccc12
716	CC[NH+]1CCC[C@H]1CNC(=O)c1cn(C)c(=O)c2ccccc12
717	Cc1noc2nc(C)cc(C(=O)Nc3nc(n[nH]3)C3CC3)c12
718	Fc1cc(F)cc(Cc2nc3nccc(-c4cccnc4)n3n2)c1
719	Brc1ccc2c(n[nH]c2c1)N1C[C@@H](CC1=O)C(=O)NCCN1CCOCC1
720	Brc1ccc2c(n[nH]c2c1)N1C[C@H](CC1=O)C(=O)NCCN1CCOCC1
721	Cc1nc2ccccc2n(CC(=O)Nc2ccc(cc2)N2CCCS2(=O)=O)c1=O
722	COc1ccccc1-c1cc(n[nH]1)C(=O)Nc1cccc2[nH]ccc12
723	Cc1nnnn1-c1cccc(c1)C(=O)Nc1cccc2[nH]ccc12
724	COc1ccc(cc1)-c1[nH]nc(C)c1CC(=O)N1CCn2c(C1)nnc2C(F)(F)F
725	C(Cc1ccccc1)c1nc2nccc(-c3ccccn3)n2n1
726	CC(C)n1ccc2c(NC(=O)[C@H]3CN(Cc4ccco4)C(=O)C3)cccc12
727	CC(C)n1ccc2c(NC(=O)[C@@H]3CN(Cc4ccco4)C(=O)C3)cccc12
728	Cn1cc(cn1)[C@H]1CC(O)=Nc2c1c(=O)[nH]n2C1CCOCC1
729	Cc1cc(=O)c(OCC(=O)Nc2cccc3ncccc23)cn1C
730	COc1ccc(Cc2n[nH]c(NC(=O)[C@@H]3CN(C(=O)C3)c3ccccc3)n2)cc1
731	CC(C)c1nnc(NC(=O)[C@H]2CC(=O)N(C)[C@@H]2c2ccc3OCOc3c2)s1
732	CC(C)c1nnc(NC(=O)[C@@H]2CC(=O)N(C)[C@H]2c2ccc3OCOc3c2)s1
733	CC(C)c1nnc(NC(=O)[C@H]2CC(=O)N(C)[C@H]2c2ccc3OCOc3c2)s1
734	Cc1nc(C)c(s1)-c1nn2c(nnc2s1)-c1cnn(C)c1
735	CC(C)Cc1cc(-c2nnc3sc(nn23)-c2cc(CC(C)C)n(C)n2)n(C)n1
736	COc1cc(cc(OC)c1OC)-c1ccnc2nc(CCc3ccccc3)nn12
737	Cc1nc(C(=O)N=c2[nH]cc[nH]2)c(s1)-c1ccccc1Cl
738	C[C@H](C(=O)NCCc1nc(cs1)-c1ccccc1)n1nnc2ccccc2c1=O
739	O[C@@]12CCCC[C@H]1CN(CC2)C(=O)Cn1nc(ccc1=O)-c1ccc(Cl)cc1
740	COc1ccc(nn1)N1CCC[C@H](C1)C(=O)Nc1ccc(NC(C)=O)cc1
741	Fc1ccc(Cc2n[nH]c(NC(=O)c3ccncc3)n2)cc1
742	O=C(CCc1c[nH]c2ccccc12)Nc1nc(n[nH]1)C1CC1
743	COC(=O)C[C@H](c1ccco1)c1oc(CSc2ccc(F)cc2F)cc(=O)c1O
744	Cc1cc(=O)c(OCC(=O)Nc2ccccn2)c[nH]1
745	O=C(Cn1nc(ccc1=O)-c1cccc2ccccc12)NCc1ccccn1
746	O=C(CCNc1ncccn1)Nc1nc(n[nH]1)[C@@H]1CCCO1
747	COc1cc2CC(=O)N(CC(=O)Nc3ccc4[nH]c(CC(C)C)nc4c3)C=Cc2cc1OC
748	O=C(Nc1cccc2[nH]ccc12)c1csc(n1)-n1cccc1
749	COC(=O)c1[nH]\c(=N/C(=O)c2nc(C)sc2C)sc1C(C)C
750	Cc1c(sc2nc3CCCn3c(=O)c12)C(=O)N=c1[nH]cc[nH]1
751	COc1ccc(CCc2n[nH]c(NC(=O)c3c(C)noc3C)n2)cc1
752	Cc1nn(c2N=C(O)C[C@]3(C(=O)N(CC#C)c4ccc(F)cc34)c12)-c1ncnc2[nH]cnc12
753	CC(C)(C)OC(=O)NCCNC(=O)[C@@H]1CN(C(=O)C1)c1n[nH]c2cccc(F)c12
754	O=C(NCCc1c[nH]c[nH+]1)c1cc([nH]n1)-c1cccs1
755	OCCCNC(=O)[C@@H]1CN(C(=O)C1)c1n[nH]c2cc(Br)ccc12
756	COCc1nc(n[nH]1)-c1ccc(NC(=O)c2cccc3n(C)ccc23)cc1
757	CC(C)c1n[nH]c(NC(=O)CCc2c(C)noc2C)n1
758	Cc1cc(-c2nnc3sc(nn23)-c2cc(Br)ccc2F)n(C)n1
759	COC(=O)c1[nH]\c(=N\C(=O)c2sc3nc4CCCn4c(=O)c3c2C)sc1C
760	C[C@@H](NC(=O)c1cccc(Nc2nc(C)cc(C)n2)c1)c1nnc2ccccn12
761	Fc1ccc(c(c1)C(=O)NCCCc1nc2ccccc2[nH]1)-n1cnnn1
762	C[C@@H](C(=O)Nc1ccc2n(C)cnc2c1)c1ccc(C[C@@H]2CCCC2=O)cc1
763	C[C@H](C(=O)Nc1ccc2n(C)cnc2c1)c1ccc(C[C@H]2CCCC2=O)cc1
764	COCCn1c(cc2cc(Cl)ccc12)C(=O)NCc1nnc2ccccn12
765	CC(C)Cc1cc(-c2nnc3sc(nn23)C2CC2)n(C)n1
766	COCCn1ccc2c(NC(=O)C3CCN(CC3)S(=O)(=O)c3ccc(F)cc3)cccc12
767	COc1ccc(cc1OCC(N)=O)-c1c2oc3cc(O)ccc3c2nc2n(nc(O)c12)C1CCCC1
768	Cc1nc2ccccc2n(CC(=O)Nc2cccc(c2)-c2nnn(C)n2)c1=O
769	COc1ccc(-c2nc3nccc(-c4cccs4)n3n2)c(OC)c1
770	Cn1cccc1CNC(=O)[C@H]1CCCN(C1)c1ccc2nnnn2n1
771	Clc1ccc(cc1)[C@H](CC(=O)N1CCN(CCc2ccncc2)CC1)Cn1cccc1
772	CC(C)n1ccc2c(cccc12)C(=O)N1CCn2c(C1)nnc2C(F)(F)F
773	COC(=O)C[C@@H](c1ccc2nccnc2c1)c1oc(C)cc(=O)c1O
774	Brc1ccc(s1)-c1cc(n[nH]1)C(=O)NCCc1c[nH]c[nH+]1
775	CC1(C)C[C@@H](CCO1)NC(=O)C[C@]1(CCOC(C)(C)C1)c1ccc(Cl)cc1
776	COc1ccccc1-c1ccc(=O)n(CC(=O)N2CCC(O)(CC2)c2ccc(Cl)cc2)n1
777	COCCn1cc(C(=O)NCCc2c[nH]c3ccc(F)cc23)c2ccccc12
778	COCCn1c(cc2ccccc12)C(=O)N1CCN(CC1)S(=O)(=O)N(C)C
779	Cn1ccc2c(NC(=O)c3ccc(cc3Cl)N3CCCCS3(=O)=O)cccc12
780	Cc1nc2ccc(F)cc2c(=O)n1CC(=O)NCCc1c[nH]c2ccc(Cl)cc12
781	COc1ccc(cc1)-c1[nH]nc(C)c1CC(=O)NCc1ccc2OCOc2c1
782	COC(=O)C[C@H](c1ccc(o1)-c1ccc(cc1)C([O-])=O)c1c(C)[nH]nc1O
783	COc1cc(cc(OC)c1OC)-c1ccnc2nc(nn12)C1CCC1
784	COc1ccc(nn1)N1CCC(CC1)C(=O)NCc1ccc(OC)c(OC)c1
785	CC(C)[C@@H]1Nc2ccccc2C(=O)N1CC(=O)NCc1cccnc1
786	CC(C)[C@H]1Nc2ccccc2C(=O)N1CC(=O)NCc1cccnc1
787	COC(=O)[C@@H](NC(=O)[C@H](C)n1nnc2ccccc2c1=O)C(C)C
788	C[C@H](C(=O)Nc1ccc2OCOc2c1)c1ccc(C[C@@H]2CCCC2=O)cc1
789	OCCNC(=O)[C@@H]1CN(C(=O)C1)c1n[nH]c2cc(Br)ccc12
790	CN1[C@H]([C@@H](CC1=O)C(=O)N1CCC(CC1)c1nnc2ccccn12)c1ccccc1
791	CN1[C@@H]([C@H](CC1=O)C(=O)N1CCC(CC1)c1nnc2ccccn12)c1ccccc1
792	O=C(NCCc1ccco1)[C@H]1CN(C(=O)C1)c1n[nH]c2ccccc12
793	O=C(NCCc1ccco1)[C@@H]1CN(C(=O)C1)c1n[nH]c2ccccc12
794	CCn1nc(C)c(CCC(=O)NCC2(CCOCC2)c2ccc(OC)cc2)c1C
795	COCCn1cc(CC(=O)NCCc2c[nH]c3ccc(Cl)cc23)c2ccccc12
796	Cc1ccc(o1)-c1c2oc3cc(O)ccc3c2nc2n(nc(O)c12)C1CCCCCCC1
797	OC1=N[C@@H](CC(=O)NCCCc2nc3ccccc3[nH]2)C(=O)N1CCc1ccccc1
798	OC1=N[C@H](CC(=O)NCCCc2nc3ccccc3[nH]2)C(=O)N1CCc1ccccc1
799	COC(=O)C[C@H](c1c(C)[nH]nc1O)c1ccc(O)c(Cl)c1
800	COc1ccc(CNC(=O)CC2(CCCCC2)n2cccc2)cc1OC
801	COC(=O)C[C@H](c1ccc(O)c(Cl)c1)c1oc(CSc2ccccc2)cc(=O)c1O
802	COc1cn(CC(=O)Nc2nnc(s2)[C@H]2CCCO2)c(C)cc1=O
803	COc1ccccc1-c1n[nH]\c(=N/C(=O)[C@H](CC(C)C)N2Cc3ccccc3C2=O)[nH]1
804	Cc1nn(c2N=C(O)C[C@@]3(C(=O)Nc4c3cc(Cl)cc4Br)c12)-c1ncnc2[nH]cnc12
805	O=C(NCCn1c2ccccc2[nH]c(=O)c1=O)c1cc([nH]n1)-c1ccco1
806	CCCCc1nc(OCC(C)=C)c(C#N)c2CC(C)(C)OCc12
807	COC(=O)c1[nH]\c(=N/C(=O)Cn2c3ccccc3nc(C)c2=O)sc1C(C)C
808	Cc1cc(NC(=O)C[C@H](Cn2cccc2)c2ccc(Cl)cc2)nn1C
809	COc1ccc(nn1)N1CCC[C@@H](C1)C(=O)NC1CC[NH+](Cc2ccccc2)CC1
810	Fc1ccc2ncn(CCNC(=O)c3c[nH]c4ccccc34)c(=O)c2c1
811	COC(=O)c1[nH]\c(=N\C(=O)CCc2cc(OC)no2)sc1-c1ccc(F)cc1
812	O=C(NCCCc1nnc2ccccn12)c1cc([nH]n1)-c1cccs1
813	Cc1csc(n1)-c1cccc(CNC(=O)CC[C@@H]2NC(=O)c3ccccc3N=C2O)c1
814	O=C(Nc1nc(cs1)-c1cccnc1)c1n[nH]c2CCCc12
815	COc1ccc(cc1O)[C@H]1CC(O)=Nc2c1c(=O)[nH]n2C1CCOCC1
816	COc1ccc(CCc2nc3nccc(-c4ccc(F)cc4OC)n3n2)cc1
817	CCCCc1nc(N2CCN(CC(=O)N(C)c3ccccc3)CC2)c(C#N)c2CC(C)(C)OCc12
818	CC(C)c1sc(Cl)nc1C(=O)Nc1ccc(cc1)C(N)=O
819	COCCn1ccc2ccc(cc12)C(=O)NCc1cccnc1
820	C[C@@H](NC(=O)C(C)(C)Oc1ccc(cc1)[C@@H]1CC1(Cl)Cl)c1nnc2ccccn12
821	C[C@H](NC(=O)C(C)(C)Oc1ccc(cc1)[C@H]1CC1(Cl)Cl)c1nnc2ccccn12
822	OC1(CCN(CC1)C(=O)c1cc([nH]n1)-c1cccs1)c1ccc(Cl)cc1
823	CCC[C@]1(CCNC(=O)c2cccs2)CCOC(C)(C)C1
824	COc1ccc(cc1)[C@H]1[C@@H](C(=O)NCC(=O)c2ccccc2)c2ccccc2C(=O)N1C
825	Fc1ccc2onc(C3CCN(CC3)C(=O)CCCC(=O)N3CCCC3)c2c1
826	COc1ccccc1-n1cc(C(=O)Nc2nc[nH]n2)c2ccccc2c1=O
827	Cc1nc(sc1C(=O)N1CC[C@@]2(O)CCCC[C@H]2C1)-c1ccccc1Cl
828	CN1[C@@H]([C@H](CC1=O)C(=O)Nc1nnc(s1)C1CCCCC1)c1ccccc1
829	CN1[C@H]([C@H](CC1=O)C(=O)Nc1nnc(s1)C1CCCCC1)c1ccccc1
830	O=C(Nc1ccc(Cn2cncn2)cc1)c1[nH]nc2CCCCc12
831	O=C(CCCCCNc1ncccn1)Nc1ccc2[nH]ccc2c1
832	CCOC(=O)c1cs\c(=N/C(=O)c2cc3ccccc3n2CCOC)[nH]1
833	Cc1ncc(CN2CCOCC2)c2cc(oc12)C(=O)c1ccc2OCCOc2c1
834	OCc1cc(=O)c(OCc2ccccc2)cn1CC(=O)NC1CCCCCCC1
835	COC(=O)C[C@H](c1ccc(OCc2ccccn2)cc1)c1oc(C)cc(=O)c1O
836	COC(=O)CC1CCN(CC1)C(=O)[C@H]1CN(C(=O)C1)c1n[nH]c2ccccc12
837	COC(=O)CC1CCN(CC1)C(=O)[C@@H]1CN(C(=O)C1)c1n[nH]c2ccccc12
838	Cc1nn(c2N=C(O)C[C@@]3(C(=O)N(CC#C)c4ccc(Cl)cc34)c12)-c1ncnc2[nH]cnc12
839	COCCn1c(cc2ccccc12)C(=O)Nc1nc(cs1)-c1ccccn1
840	OC1=N[C@@H](CC(=O)NC2CC[NH+](Cc3ccccc3)CC2)C(=O)N1CCc1ccccc1
841	CC(C)n1ccc2c(cccc12)C(=O)N1CCN(CC1)C(=O)c1ccco1
842	CCOC(=O)c1[nH]c(C)c(C(=O)Nc2cccc3ncccc23)c1C
843	Cc1nn(c2N=C(O)C[C@]3(C(=O)N(Cc4ccc(cc4)C#N)c4ccccc34)c12)-c1ncnc2[nH]cnc12
844	Cc1nn(c2N=C(O)C[C@@]3(C(=O)N(Cc4ccc(cc4)C#N)c4ccccc34)c12)-c1ncnc2[nH]cnc12
845	COc1cccc2[nH]cc([C@@H](CC(=O)NCc3ccco3)c3ccsc3)c12
846	CC(C)n1ccc2c(NC(=O)CCCN3Cc4ccccc4C3=O)cccc12
847	COc1ccc(cc1OC)-c1ccnc2nc(nn12)-c1ccccc1OC
848	CC(C)n1nc(CC(=O)Nc2ccc3C(=O)OCc3c2)c2ccccc2c1=O
849	CC(C)(C)c1csc(NC(=O)CC[C@@H]2NC(=O)c3ccccc3N=C2O)n1
850	COc1cc(NC(=O)Cn2cc(OC)c(=O)cc2C)cc(OC)c1OC
851	COCCn1ccc2c(NC(=O)CCc3c(C)n[nH]c3C)cccc12
852	Cc1c(nn2c(ccnc12)-c1cc(O)ccc1O)-c1ccccc1
853	Clc1cc2NC(=O)Cc2cc1-c1csc(NC(=O)CCCn2cccn2)n1
854	COC(=O)c1s\c(=N/C(=O)Cn2c3ccccc3nc(C)c2=O)[nH]c1C
855	COCCn1ccc2cc(ccc12)C(=O)Nc1nnn[n-]1
